CityName,CityCode,LastUpdate,incrConfirmed
河西区,120103,2022-01-13,1
津南区,120112,2022-01-13,40
郑州市,4101,2022-01-13,3
安阳市,4105,2022-01-13,55
许昌市,4110,2022-01-13,28
信阳市,4115,2022-01-13,1
深圳市,4403,2022-01-13,1
西安市,6101,2022-01-13,6
河西区,120103,2022-01-14,2
红桥区,120106,2022-01-14,1
西青区,120111,2022-01-14,3
津南区,120112,2022-01-14,28
静安区,310106,2022-01-14,2
郑州市,4101,2022-01-14,4
安阳市,4105,2022-01-14,69
许昌市,4110,2022-01-14,25
中山市,4420,2022-01-14,1
西安市,6101,2022-01-14,8
西青区,120111,2022-01-15,2
津南区,120112,2022-01-15,37
杭州市,3301,2022-01-15,1
郑州市,4101,2022-01-15,3
安阳市,4105,2022-01-15,37
许昌市,4110,2022-01-15,12
深圳市,4403,2022-01-15,2
珠海市,4404,2022-01-15,6
西安市,6101,2022-01-15,4
海淀区,110108,2022-01-16,1
西青区,120111,2022-01-16,1
津南区,120112,2022-01-16,32
郑州市,4101,2022-01-16,7
安阳市,4105,2022-01-16,15
许昌市,4110,2022-01-16,7
珠海市,4404,2022-01-16,1
西安市,6101,2022-01-16,1
郑州市,4101,2022-01-17,1
安阳市,4105,2022-01-17,60
许昌市,4110,2022-01-17,7
深圳市,4403,2022-01-17,2
珠海市,4404,2022-01-17,5
梅州市,4414,2022-01-17,1
中山市,4420,2022-01-17,1
西安市,6101,2022-01-17,5
海淀区,110108,2022-01-18,1
河西区,120103,2022-01-18,1
西青区,120111,2022-01-18,2
津南区,120112,2022-01-18,15
郑州市,4101,2022-01-18,4
安阳市,4105,2022-01-18,94
许昌市,4110,2022-01-18,4
珠海市,4404,2022-01-18,5
西安市,6101,2022-01-18,1
海淀区,110108,2022-01-19,1
郑州市,4101,2022-01-19,1
安阳市,4105,2022-01-19,29
许昌市,4110,2022-01-19,3
深圳市,4403,2022-01-19,1
珠海市,4404,2022-01-19,6
朝阳区,110105,2022-01-20,1
丰台区,110106,2022-01-20,2
朝阳市,2113,2022-01-20,1
郑州市,4101,2022-01-20,1
安阳市,4105,2022-01-20,19
许昌市,4110,2022-01-20,4
珠海市,4404,2022-01-20,2
丰台区,110106,2022-01-21,2
房山区,110111,2022-01-21,3
安阳市,4105,2022-01-21,3
珠海市,4404,2022-01-21,4
丰台区,110106,2022-01-22,6
海淀区,110108,2022-01-22,2
大兴区,110115,2022-01-22,1
安阳市,4105,2022-01-22,4
珠海市,4404,2022-01-22,3
丰台区,110106,2022-01-23,6
海淀区,110108,2022-01-23,1
房山区,110111,2022-01-23,2
安阳市,4105,2022-01-23,1
珠海市,4404,2022-01-23,3
西双版纳傣族自治州,5328,2022-01-23,1
丰台区,110106,2022-01-24,4
房山区,110111,2022-01-24,1
大兴区,110115,2022-01-24,1
河北区,120105,2022-01-24,3
保定市,1306,2022-01-24,3
大同市,1402,2022-01-24,1
济南市,3701,2022-01-24,2
安阳市,4105,2022-01-24,1
珠海市,4404,2022-01-24,1
西双版纳傣族自治州,5328,2022-01-24,3
西城区,110102,2022-01-25,1
朝阳区,110105,2022-01-25,4
丰台区,110106,2022-01-25,11
大兴区,110115,2022-01-25,1
河北区,120105,2022-01-25,2
津南区,120112,2022-01-25,1
沈阳市,2101,2022-01-25,1
朝阳市,2113,2022-01-25,4
牡丹江市,2310,2022-01-25,4
奉贤区,310120,2022-01-25,1
安阳市,4105,2022-01-25,3
伊犁哈萨克自治州,6540,2022-01-25,6
西城区,110102,2022-01-26,1
朝阳区,110105,2022-01-26,3
丰台区,110106,2022-01-26,9
大兴区,110115,2022-01-26,1
河北区,120105,2022-01-26,1
保定市,1306,2022-01-26,1
沈阳市,2101,2022-01-26,1
朝阳市,2113,2022-01-26,3
牡丹江市,2310,2022-01-26,4
杭州市,3301,2022-01-26,1
安阳市,4105,2022-01-26,1
中山市,4420,2022-01-26,1
伊犁哈萨克自治州,6540,2022-01-26,2
丰台区,110106,2022-01-27,5
河北区,120105,2022-01-27,4
廊坊市,1310,2022-01-27,4
吉林市,2202,2022-01-27,1
牡丹江市,2310,2022-01-27,5
奉贤区,310120,2022-01-27,1
杭州市,3301,2022-01-27,6
安阳市,4105,2022-01-27,1
安顺市,5204,2022-01-27,1
伊犁哈萨克自治州,6540,2022-01-27,1
西城区,110102,2022-01-29,1
丰台区,110106,2022-01-29,4
河北区,120105,2022-01-29,1
保定市,1306,2022-01-29,1
大同市,1402,2022-01-29,1
牡丹江市,2310,2022-01-29,2
杭州市,3301,2022-01-29,18
安阳市,4105,2022-01-29,1
伊犁哈萨克自治州,6540,2022-01-29,3
西城区,110102,2022-01-30,1
朝阳区,110105,2022-01-30,2
丰台区,110106,2022-01-30,11
大兴区,110115,2022-01-30,4
津南区,120112,2022-01-30,1
朝阳市,2113,2022-01-30,2
牡丹江市,2310,2022-01-30,4
杭州市,3301,2022-01-30,19
安阳市,4105,2022-01-30,1
三门峡市,4112,2022-01-30,1
西双版纳傣族自治州,5328,2022-01-30,1
朝阳区,110105,2022-01-31,1
丰台区,110106,2022-01-31,2
滨海新区,120116,2022-01-31,3
朝阳市,2113,2022-01-31,1
牡丹江市,2310,2022-01-31,1
杭州市,3301,2022-01-31,24
平顶山市,4104,2022-01-31,1
朝阳区,110105,2022-02-01,1
丰台区,110106,2022-02-01,1
河北区,120105,2022-02-01,4
红桥区,120106,2022-02-01,2
津南区,120112,2022-02-01,1
衡水市,1311,2022-02-01,4
朝阳市,2113,2022-02-01,1
杭州市,3301,2022-02-01,13
深圳市,4403,2022-02-01,1
丰台区,110106,2022-02-02,2
河东区,120102,2022-02-02,2
河北区,120105,2022-02-02,1
滨海新区,120116,2022-02-02,4
衡水市,1311,2022-02-02,1
吉林市,2202,2022-02-02,1
杭州市,3301,2022-02-02,15
深圳市,4403,2022-02-02,2
惠州市,4413,2022-02-02,1
梅州市,4414,2022-02-02,1
河源市,4416,2022-02-02,1
云浮市,4453,2022-02-02,1
丰台区,110106,2022-02-03,1
大兴区,110115,2022-02-03,1
杭州市,3301,2022-02-03,2
深圳市,4403,2022-02-03,4
惠州市,4413,2022-02-03,2
云浮市,4453,2022-02-03,4
杭州市,3301,2022-02-04,2
深圳市,4403,2022-02-04,4
惠州市,4413,2022-02-04,1
丰台区,110106,2022-02-05,1
邵阳市,4305,2022-02-05,1
深圳市,4403,2022-02-05,2
惠州市,4413,2022-02-05,2
云浮市,4453,2022-02-05,2
百色市,4510,2022-02-05,1
西城区,110102,2022-02-06,1
朝阳区,110105,2022-02-06,1
河北区,120105,2022-02-06,2
廊坊市,1310,2022-02-06,2
朝阳市,2113,2022-02-06,1
邵阳市,4305,2022-02-06,1
惠州市,4413,2022-02-06,1
百色市,4510,2022-02-06,43
葫芦岛市,2114,2022-02-08,1
百色市,4510,2022-02-08,83
葫芦岛市,2114,2022-02-09,1
百色市,4510,2022-02-09,72
吉林市,2202,2022-02-10,2
百色市,4510,2022-02-10,7
沈阳市,2101,2022-02-11,1
葫芦岛市,2114,2022-02-11,26
百色市,4510,2022-02-11,38
铜仁市,5206,2022-02-11,1
葫芦岛市,2114,2022-02-12,10
百色市,4510,2022-02-12,30
西青区,120111,2022-02-13,1
葫芦岛市,2114,2022-02-13,11
深圳市,4403,2022-02-13,1
南宁市,4501,2022-02-13,1
百色市,4510,2022-02-13,12
文山壮族苗族自治州,5326,2022-02-13,2
葫芦岛市,2114,2022-02-14,18
深圳市,4403,2022-02-14,1
百色市,4510,2022-02-14,6
文山壮族苗族自治州,5326,2022-02-14,1
沈阳市,2101,2022-02-15,1
葫芦岛市,2114,2022-02-15,28
苏州市,3205,2022-02-15,8
深圳市,4403,2022-02-15,2
百色市,4510,2022-02-15,1
呼和浩特市,1501,2022-02-16,2
呼伦贝尔市,1507,2022-02-16,5
葫芦岛市,2114,2022-02-16,15
苏州市,3205,2022-02-16,18
南通市,3206,2022-02-16,1
深圳市,4403,2022-02-16,3
百色市,4510,2022-02-16,2
呼和浩特市,1501,2022-02-18,21
包头市,1502,2022-02-18,1
葫芦岛市,2114,2022-02-18,9
吉林市,2202,2022-02-18,2
苏州市,3205,2022-02-18,4
深圳市,4403,2022-02-18,3
东莞市,4419,2022-02-18,1
红河哈尼族彝族自治州,5325,2022-02-18,1
呼和浩特市,1501,2022-02-20,63
包头市,1502,2022-02-20,2
葫芦岛市,2114,2022-02-20,9
苏州市,3205,2022-02-20,16
深圳市,4403,2022-02-20,8
红河哈尼族彝族自治州,5325,2022-02-20,3
晋中市,1407,2022-02-21,5
呼和浩特市,1501,2022-02-21,30
包头市,1502,2022-02-21,1
巴彦淖尔市,1508,2022-02-21,1
葫芦岛市,2114,2022-02-21,7
鸡西市,2303,2022-02-21,2
无锡市,3202,2022-02-21,1
苏州市,3205,2022-02-21,10
深圳市,4403,2022-02-21,6
成都市,5101,2022-02-21,9
红河哈尼族彝族自治州,5325,2022-02-21,1
德宏傣族景颇族自治州,5331,2022-02-21,3
呼和浩特市,1501,2022-02-22,18
包头市,1502,2022-02-22,3
巴彦淖尔市,1508,2022-02-22,1
葫芦岛市,2114,2022-02-22,6
无锡市,3202,2022-02-22,2
苏州市,3205,2022-02-22,10
青岛市,3702,2022-02-22,1
武汉市,4201,2022-02-22,14
深圳市,4403,2022-02-22,3
成都市,5101,2022-02-22,5
红河哈尼族彝族自治州,5325,2022-02-22,1
德宏傣族景颇族自治州,5331,2022-02-22,4
西城区,110102,2022-02-23,3
朝阳区,110105,2022-02-23,1
丰台区,110106,2022-02-23,2
海淀区,110108,2022-02-23,1
通州区,110112,2022-02-23,2
顺义区,110113,2022-02-23,1
大兴区,110115,2022-02-23,2
晋中市,1407,2022-02-23,1
呼和浩特市,1501,2022-02-23,44
包头市,1502,2022-02-23,7
巴彦淖尔市,1508,2022-02-23,1
朝阳市,2113,2022-02-23,1
葫芦岛市,2114,2022-02-23,9
鸡西市,2303,2022-02-23,1
苏州市,3205,2022-02-23,4
青岛市,3702,2022-02-23,1
武汉市,4201,2022-02-23,5
深圳市,4403,2022-02-23,7
成都市,5101,2022-02-23,6
红河哈尼族彝族自治州,5325,2022-02-23,2
西城区,110102,2022-02-24,2
晋中市,1407,2022-02-24,1
忻州市,1409,2022-02-24,1
呼和浩特市,1501,2022-02-24,37
包头市,1502,2022-02-24,4
葫芦岛市,2114,2022-02-24,8
吉林市,2202,2022-02-24,3
苏州市,3205,2022-02-24,3
武汉市,4201,2022-02-24,10
深圳市,4403,2022-02-24,8
防城港市,4506,2022-02-24,3
成都市,5101,2022-02-24,6
临沧市,5309,2022-02-24,2
红河哈尼族彝族自治州,5325,2022-02-24,1
朝阳区,110105,2022-02-25,1
通州区,110112,2022-02-25,1
太原市,1401,2022-02-25,1
晋中市,1407,2022-02-25,2
呼和浩特市,1501,2022-02-25,28
包头市,1502,2022-02-25,2
朝阳市,2113,2022-02-25,1
葫芦岛市,2114,2022-02-25,18
吉林市,2202,2022-02-25,2
鸡西市,2303,2022-02-25,1
苏州市,3205,2022-02-25,2
青岛市,3702,2022-02-25,1
武汉市,4201,2022-02-25,2
深圳市,4403,2022-02-25,8
防城港市,4506,2022-02-25,4
成都市,5101,2022-02-25,5
临沧市,5309,2022-02-25,1
红河哈尼族彝族自治州,5325,2022-02-25,4
朝阳区,110105,2022-02-26,1
东丽区,120110,2022-02-26,1
呼和浩特市,1501,2022-02-26,52
呼伦贝尔市,1507,2022-02-26,2
朝阳市,2113,2022-02-26,1
葫芦岛市,2114,2022-02-26,10
鸡西市,2303,2022-02-26,1
苏州市,3205,2022-02-26,4
厦门市,3502,2022-02-26,1
深圳市,4403,2022-02-26,15
珠海市,4404,2022-02-26,2
东莞市,4419,2022-02-26,19
防城港市,4506,2022-02-26,9
成都市,5101,2022-02-26,2
临沧市,5309,2022-02-26,2
红河哈尼族彝族自治州,5325,2022-02-26,1
朝阳区,110105,2022-02-27,1
昌平区,110114,2022-02-27,1
东丽区,120110,2022-02-27,3
太原市,1401,2022-02-27,1
晋中市,1407,2022-02-27,1
呼和浩特市,1501,2022-02-27,35
包头市,1502,2022-02-27,1
呼伦贝尔市,1507,2022-02-27,2
朝阳市,2113,2022-02-27,1
葫芦岛市,2114,2022-02-27,6
吉林市,2202,2022-02-27,2
苏州市,3205,2022-02-27,2
武汉市,4201,2022-02-27,2
深圳市,4403,2022-02-27,26
东莞市,4419,2022-02-27,22
防城港市,4506,2022-02-27,7
成都市,5101,2022-02-27,2
眉山市,5114,2022-02-27,1
临沧市,5309,2022-02-27,2
晋中市,1407,2022-03-01,1
呼和浩特市,1501,2022-03-01,13
包头市,1502,2022-03-01,1
哈尔滨市,2301,2022-03-01,1
牡丹江市,2310,2022-03-01,3
苏州市,3205,2022-03-01,3
武汉市,4201,2022-03-01,2
深圳市,4403,2022-03-01,23
东莞市,4419,2022-03-01,7
中山市,4420,2022-03-01,1
防城港市,4506,2022-03-01,6
三亚市,4602,2022-03-01,1
成都市,5101,2022-03-01,1
临沧市,5309,2022-03-01,1
德宏傣族景颇族自治州,5331,2022-03-01,5
海南藏族自治州,6325,2022-03-01,1
滨海新区,120116,2022-03-02,1
晋中市,1407,2022-03-02,1
呼和浩特市,1501,2022-03-02,16
包头市,1502,2022-03-02,1
葫芦岛市,2114,2022-03-02,2
吉林市,2202,2022-03-02,4
延边朝鲜族自治州,2224,2022-03-02,4
哈尔滨市,2301,2022-03-02,2
牡丹江市,2310,2022-03-02,2
普陀区,310107,2022-03-02,1
青岛市,3702,2022-03-02,4
深圳市,4403,2022-03-02,25
珠海市,4404,2022-03-02,1
东莞市,4419,2022-03-02,6
防城港市,4506,2022-03-02,2
成都市,5101,2022-03-02,3
德宏傣族景颇族自治州,5331,2022-03-02,1
河北区,120105,2022-03-03,1
滨海新区,120116,2022-03-03,1
邯郸市,1304,2022-03-03,1
晋中市,1407,2022-03-03,1
呼和浩特市,1501,2022-03-03,6
包头市,1502,2022-03-03,1
吉林市,2202,2022-03-03,13
延边朝鲜族自治州,2224,2022-03-03,3
哈尔滨市,2301,2022-03-03,1
普陀区,310107,2022-03-03,3
闵行区,310112,2022-03-03,1
松江区,310117,2022-03-03,1
苏州市,3205,2022-03-03,1
温州市,3303,2022-03-03,2
武汉市,4201,2022-03-03,4
深圳市,4403,2022-03-03,23
东莞市,4419,2022-03-03,5
防城港市,4506,2022-03-03,2
成都市,5101,2022-03-03,1
德宏傣族景颇族自治州,5331,2022-03-03,1
河北区,120105,2022-03-04,5
东丽区,120110,2022-03-04,1
石家庄市,1301,2022-03-04,1
邢台市,1305,2022-03-04,4
呼和浩特市,1501,2022-03-04,9
呼伦贝尔市,1507,2022-03-04,2
吉林市,2202,2022-03-04,8
延边朝鲜族自治州,2224,2022-03-04,4
哈尔滨市,2301,2022-03-04,3
闵行区,310112,2022-03-04,1
松江区,310117,2022-03-04,1
徐州市,3203,2022-03-04,1
温州市,3303,2022-03-04,2
武汉市,4201,2022-03-04,4
深圳市,4403,2022-03-04,22
防城港市,4506,2022-03-04,3
保山市,5305,2022-03-04,1
红河哈尼族彝族自治州,5325,2022-03-04,2
德宏傣族景颇族自治州,5331,2022-03-04,1
河北区,120105,2022-03-05,6
东丽区,120110,2022-03-05,3
石家庄市,1301,2022-03-05,2
邢台市,1305,2022-03-05,3
保定市,1306,2022-03-05,1
晋中市,1407,2022-03-05,1
呼和浩特市,1501,2022-03-05,5
呼伦贝尔市,1507,2022-03-05,3
长春市,2201,2022-03-05,5
吉林市,2202,2022-03-05,20
延边朝鲜族自治州,2224,2022-03-05,6
哈尔滨市,2301,2022-03-05,1
青岛市,3702,2022-03-05,5
武汉市,4201,2022-03-05,1
怀化市,4312,2022-03-05,1
深圳市,4403,2022-03-05,21
惠州市,4413,2022-03-05,1
东莞市,4419,2022-03-05,24
防城港市,4506,2022-03-05,3
三亚市,4602,2022-03-05,2
成都市,5101,2022-03-05,1
德宏傣族景颇族自治州,5331,2022-03-05,2
海南藏族自治州,6325,2022-03-05,2
河北区,120105,2022-03-06,14
石家庄市,1301,2022-03-06,5
邯郸市,1304,2022-03-06,1
邢台市,1305,2022-03-06,4
保定市,1306,2022-03-06,4
晋中市,1407,2022-03-06,1
呼和浩特市,1501,2022-03-06,7
鄂尔多斯市,1506,2022-03-06,1
呼伦贝尔市,1507,2022-03-06,1
长春市,2201,2022-03-06,7
吉林市,2202,2022-03-06,25
延边朝鲜族自治州,2224,2022-03-06,9
连云港市,3207,2022-03-06,4
杭州市,3301,2022-03-06,2
青岛市,3702,2022-03-06,88
郑州市,4101,2022-03-06,1
深圳市,4403,2022-03-06,17
河源市,4416,2022-03-06,1
东莞市,4419,2022-03-06,2
百色市,4510,2022-03-06,5
临沧市,5309,2022-03-06,1
德宏傣族景颇族自治州,5331,2022-03-06,3
西安市,6101,2022-03-06,2
河北区,120105,2022-03-07,9
邢台市,1305,2022-03-07,9
太原市,1401,2022-03-07,1
呼和浩特市,1501,2022-03-07,3
包头市,1502,2022-03-07,1
鄂尔多斯市,1506,2022-03-07,2
呼伦贝尔市,1507,2022-03-07,1
长春市,2201,2022-03-07,7
吉林市,2202,2022-03-07,55
延边朝鲜族自治州,2224,2022-03-07,5
徐汇区,310104,2022-03-07,2
浦东新区,310115,2022-03-07,1
连云港市,3207,2022-03-07,5
嘉兴市,3304,2022-03-07,1
青岛市,3702,2022-03-07,58
威海市,3710,2022-03-07,1
武汉市,4201,2022-03-07,2
深圳市,4403,2022-03-07,19
东莞市,4419,2022-03-07,50
防城港市,4506,2022-03-07,1
德宏傣族景颇族自治州,5331,2022-03-07,4
西安市,6101,2022-03-07,4
兰州市,6201,2022-03-07,12
朝阳区,110105,2022-03-09,4
海淀区,110108,2022-03-09,2
河北区,120105,2022-03-09,11
西青区,120111,2022-03-09,5
石家庄市,1301,2022-03-09,2
邢台市,1305,2022-03-09,5
保定市,1306,2022-03-09,3
沧州市,1309,2022-03-09,1
晋城市,1405,2022-03-09,1
运城市,1408,2022-03-09,2
呼和浩特市,1501,2022-03-09,2
阿拉善盟,1529,2022-03-09,1
沈阳市,2101,2022-03-09,1
朝阳市,2113,2022-03-09,4
长春市,2201,2022-03-09,12
吉林市,2202,2022-03-09,94
延边朝鲜族自治州,2224,2022-03-09,9
哈尔滨市,2301,2022-03-09,1
静安区,310106,2022-03-09,1
闵行区,310112,2022-03-09,1
嘉定区,310114,2022-03-09,1
连云港市,3207,2022-03-09,11
湖州市,3305,2022-03-09,1
青岛市,3702,2022-03-09,55
淄博市,3703,2022-03-09,1
威海市,3710,2022-03-09,1
日照市,3711,2022-03-09,2
濮阳市,4109,2022-03-09,1
深圳市,4403,2022-03-09,6
阳江市,4417,2022-03-09,1
东莞市,4419,2022-03-09,1
昆明市,5301,2022-03-09,2
德宏傣族景颇族自治州,5331,2022-03-09,2
西安市,6101,2022-03-09,10
宝鸡市,6103,2022-03-09,6
汉中市,6107,2022-03-09,1
朝阳区,110105,2022-03-10,2
海淀区,110108,2022-03-10,2
河北区,120105,2022-03-10,10
西青区,120111,2022-03-10,14
津南区,120112,2022-03-10,2
北辰区,120113,2022-03-10,2
武清区,120114,2022-03-10,1
石家庄市,1301,2022-03-10,1
邢台市,1305,2022-03-10,7
沧州市,1309,2022-03-10,1
廊坊市,1310,2022-03-10,1
运城市,1408,2022-03-10,2
呼和浩特市,1501,2022-03-10,3
沈阳市,2101,2022-03-10,4
朝阳市,2113,2022-03-10,2
长春市,2201,2022-03-10,23
吉林市,2202,2022-03-10,165
松原市,2207,2022-03-10,1
延边朝鲜族自治州,2224,2022-03-10,7
徐汇区,310104,2022-03-10,1
静安区,310106,2022-03-10,1
闵行区,310112,2022-03-10,1
浦东新区,310115,2022-03-10,1
连云港市,3207,2022-03-10,13
杭州市,3301,2022-03-10,1
温州市,3303,2022-03-10,1
衢州市,3308,2022-03-10,1
青岛市,3702,2022-03-10,56
淄博市,3703,2022-03-10,2
烟台市,3706,2022-03-10,1
威海市,3710,2022-03-10,7
濮阳市,4109,2022-03-10,2
深圳市,4403,2022-03-10,15
阳江市,4417,2022-03-10,1
东莞市,4419,2022-03-10,1
保山市,5305,2022-03-10,1
德宏傣族景颇族自治州,5331,2022-03-10,2
西安市,6101,2022-03-10,13
宝鸡市,6103,2022-03-10,7
汉中市,6107,2022-03-10,1
兰州市,6201,2022-03-10,59
白银市,6204,2022-03-10,7
朝阳区,110105,2022-03-11,2
海淀区,110108,2022-03-11,2
大兴区,110115,2022-03-11,1
河北区,120105,2022-03-11,16
邢台市,1305,2022-03-11,3
保定市,1306,2022-03-11,1
沧州市,1309,2022-03-11,7
廊坊市,1310,2022-03-11,5
呼和浩特市,1501,2022-03-11,1
阿拉善盟,1529,2022-03-11,1
沈阳市,2101,2022-03-11,4
朝阳市,2113,2022-03-11,2
长春市,2201,2022-03-11,2
吉林市,2202,2022-03-11,99
延边朝鲜族自治州,2224,2022-03-11,3
哈尔滨市,2301,2022-03-11,8
虹口区,310109,2022-03-11,2
闵行区,310112,2022-03-11,2
嘉定区,310114,2022-03-11,1
浦东新区,310115,2022-03-11,4
青浦区,310118,2022-03-11,1
南京市,3201,2022-03-11,2
连云港市,3207,2022-03-11,34
杭州市,3301,2022-03-11,14
衢州市,3308,2022-03-11,3
青岛市,3702,2022-03-11,103
淄博市,3703,2022-03-11,1
烟台市,3706,2022-03-11,3
潍坊市,3707,2022-03-11,1
威海市,3710,2022-03-11,8
德州市,3714,2022-03-11,6
濮阳市,4109,2022-03-11,1
广州市,4401,2022-03-11,1
深圳市,4403,2022-03-11,9
东莞市,4419,2022-03-11,1
昆明市,5301,2022-03-11,1
德宏傣族景颇族自治州,5331,2022-03-11,4
西安市,6101,2022-03-11,8
宝鸡市,6103,2022-03-11,8
汉中市,6107,2022-03-11,2
兰州市,6201,2022-03-11,18
白银市,6204,2022-03-11,8
西宁市,6301,2022-03-11,1
大兴区,110115,2022-03-12,1
河西区,120103,2022-03-12,4
南开区,120104,2022-03-12,3
河北区,120105,2022-03-12,22
红桥区,120106,2022-03-12,4
西青区,120111,2022-03-12,15
津南区,120112,2022-03-12,4
武清区,120114,2022-03-12,3
滨海新区,120116,2022-03-12,2
石家庄市,1301,2022-03-12,1
邢台市,1305,2022-03-12,1
沧州市,1309,2022-03-12,13
廊坊市,1310,2022-03-12,7
呼和浩特市,1501,2022-03-12,1
长春市,2201,2022-03-12,63
吉林市,2202,2022-03-12,136
延边朝鲜族自治州,2224,2022-03-12,5
哈尔滨市,2301,2022-03-12,2
虹口区,310109,2022-03-12,2
浦东新区,310115,2022-03-12,1
青浦区,310118,2022-03-12,1
连云港市,3207,2022-03-12,20
杭州市,3301,2022-03-12,22
湖州市,3305,2022-03-12,1
厦门市,3502,2022-03-12,1
青岛市,3702,2022-03-12,139
淄博市,3703,2022-03-12,4
烟台市,3706,2022-03-12,1
潍坊市,3707,2022-03-12,1
威海市,3710,2022-03-12,2
德州市,3714,2022-03-12,10
滨州市,3716,2022-03-12,2
濮阳市,4109,2022-03-12,1
广州市,4401,2022-03-12,2
深圳市,4403,2022-03-12,27
东莞市,4419,2022-03-12,4
昆明市,5301,2022-03-12,2
德宏傣族景颇族自治州,5331,2022-03-12,2
西安市,6101,2022-03-12,13
宝鸡市,6103,2022-03-12,12
汉中市,6107,2022-03-12,4
兰州市,6201,2022-03-12,4
西宁市,6301,2022-03-12,1
朝阳区,110105,2022-03-13,4
海淀区,110108,2022-03-13,3
门头沟区,110109,2022-03-13,1
顺义区,110113,2022-03-13,1
河西区,120103,2022-03-13,3
河北区,120105,2022-03-13,33
西青区,120111,2022-03-13,8
津南区,120112,2022-03-13,1
武清区,120114,2022-03-13,5
保定市,1306,2022-03-13,1
沧州市,1309,2022-03-13,9
廊坊市,1310,2022-03-13,23
呼伦贝尔市,1507,2022-03-13,1
沈阳市,2101,2022-03-13,1
朝阳市,2113,2022-03-13,4
长春市,2201,2022-03-13,831
吉林市,2202,2022-03-13,1416
四平市,2203,2022-03-13,1
松原市,2207,2022-03-13,1
延边朝鲜族自治州,2224,2022-03-13,10
哈尔滨市,2301,2022-03-13,3
长宁区,310105,2022-03-13,1
闵行区,310112,2022-03-13,4
嘉定区,310114,2022-03-13,1
金山区,310116,2022-03-13,1
常州市,3204,2022-03-13,3
连云港市,3207,2022-03-13,23
杭州市,3301,2022-03-13,16
嘉兴市,3304,2022-03-13,1
湖州市,3305,2022-03-13,1
衢州市,3308,2022-03-13,1
青岛市,3702,2022-03-13,179
淄博市,3703,2022-03-13,5
威海市,3710,2022-03-13,5
日照市,3711,2022-03-13,1
德州市,3714,2022-03-13,24
滨州市,3716,2022-03-13,3
濮阳市,4109,2022-03-13,1
湘潭市,4303,2022-03-13,1
深圳市,4403,2022-03-13,60
东莞市,4419,2022-03-13,2
遵义市,5203,2022-03-13,2
德宏傣族景颇族自治州,5331,2022-03-13,2
西安市,6101,2022-03-13,9
宝鸡市,6103,2022-03-13,32
汉中市,6107,2022-03-13,2
兰州市,6201,2022-03-13,5
东城区,110101,2022-03-14,1
朝阳区,110105,2022-03-14,4
海淀区,110108,2022-03-14,2
顺义区,110113,2022-03-14,1
河西区,120103,2022-03-14,5
南开区,120104,2022-03-14,6
河北区,120105,2022-03-14,51
红桥区,120106,2022-03-14,2
西青区,120111,2022-03-14,2
津南区,120112,2022-03-14,3
北辰区,120113,2022-03-14,2
武清区,120114,2022-03-14,16
滨海新区,120116,2022-03-14,4
邢台市,1305,2022-03-14,2
沧州市,1309,2022-03-14,19
廊坊市,1310,2022-03-14,30
沈阳市,2101,2022-03-14,1
营口市,2108,2022-03-14,5
盘锦市,2111,2022-03-14,1
铁岭市,2112,2022-03-14,2
朝阳市,2113,2022-03-14,4
长春市,2201,2022-03-14,550
吉林市,2202,2022-03-14,1039
四平市,2203,2022-03-14,7
松原市,2207,2022-03-14,1
延边朝鲜族自治州,2224,2022-03-14,10
哈尔滨市,2301,2022-03-14,7
黄浦区,310101,2022-03-14,3
徐汇区,310104,2022-03-14,4
长宁区,310105,2022-03-14,2
静安区,310106,2022-03-14,6
普陀区,310107,2022-03-14,1
虹口区,310109,2022-03-14,1
闵行区,310112,2022-03-14,9
